article_name,primary_fraud_type_semantic,secondary_fraud_types_semantic,semantic_mention_counts_json,jurisdictions_json,sectors_json,channels_json,programs_json,actors_json,has_sar_guidance,has_regulatory_context,sar_guidance_json,regulatory_context_json,related_documents_json,quantitative_notes_json,fincen_id,doc_title,doc_date,doc_type,pdf_url,num_pages,num_chunks,total_chunks,high_signal_chunks
FIN-2010-A11-updated_508.pdf,money_laundering,trade_based_money_laundering | bulk_cash_smuggling,"{""money_laundering"": 13, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 6, ""trade_based_money_laundering"": 8, ""virtual_assets_crypto"": 3, ""terrorist_financing"": 3, ""human_trafficking"": 1, ""sanctions_evasion"": 1, ""correspondent_banking"": 1, ""structuring_smurfing"": 2, ""proliferation_financing"": 1}","[""United States""]","[""depository_institution"", ""msb""]","[""wire""]",[],[],True,False,{},{},[],[],FIN-2010-A011,FinCEN Advisory – FIN-2010-A011,09/01/2010,advisory,https://www.fincen.gov/system/files/advisory/2022-07-05/FIN-2010-A11-updated_508.pdf,3,25,25,2
FIN-2011-A001.pdf,money_laundering,trade_based_money_laundering | bulk_cash_smuggling,"{""money_laundering"": 9, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 5, ""sanctions_evasion"": 2, ""terrorist_financing"": 4, ""virtual_assets_crypto"": 2, ""trade_based_money_laundering"": 5, ""correspondent_banking"": 3, ""shell_front_companies"": 1, ""fraud_government_programs"": 1, ""corruption_bribery"": 1}","[""United States""]","[""depository_institution""]","[""wire""]",[],[],True,True,{},{},[],[],FIN-2011-A001,FinCEN Advisory – FIN-2011-A001,01/20/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A001.pdf,2,12,12,4
FIN-2011-A004.pdf,money_laundering,trade_based_money_laundering | bulk_cash_smuggling,"{""money_laundering"": 10, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 5, ""sanctions_evasion"": 2, ""virtual_assets_crypto"": 3, ""proliferation_financing"": 1, ""trade_based_money_laundering"": 5, ""shell_front_companies"": 2, ""terrorist_financing"": 4, ""correspondent_banking"": 4, ""corruption_bribery"": 2}","[""United States""]","[""depository_institution""]",[],[],[],True,True,{},{},[],[],FIN-2011-A004,FinCEN Advisory – FIN-2011-A004,02/24/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A004.pdf,2,14,14,3
FIN-2011-A005.pdf,money_laundering,terrorist_financing | sanctions_evasion | trade_based_money_laundering,"{""money_laundering"": 27, ""terrorist_financing"": 23, ""sanctions_evasion"": 24, ""ransomware_cyber"": 1, ""trade_based_money_laundering"": 16, ""bulk_cash_smuggling"": 2, ""correspondent_banking"": 3, ""structuring_smurfing"": 1, ""proliferation_financing"": 10}","[""Ukraine"", ""United States"", ""Venezuela""]","[""depository_institution"", ""securities""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2011-A005,FinCEN Advisory – FIN-2011-A005,03/20/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A005.pdf,13,49,49,5
FIN-2011-A006.pdf,money_laundering,sanctions_evasion | proliferation_financing | terrorist_financing,"{""money_laundering"": 14, ""terrorist_financing"": 7, ""trade_based_money_laundering"": 5, ""virtual_assets_crypto"": 1, ""ransomware_cyber"": 1, ""sanctions_evasion"": 10, ""fraud_government_programs"": 1, ""proliferation_financing"": 10, ""correspondent_banking"": 4}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2011-A006,FinCEN Advisory - FIN-2011-A006,03/21/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A006.pdf,4,23,23,1
FIN-2011-A007.pdf,money_laundering,elder_romance_scam | ransomware_cyber,"{""money_laundering"": 12, ""ransomware_cyber"": 5, ""bulk_cash_smuggling"": 2, ""sanctions_evasion"": 2, ""elder_romance_scam"": 6, ""fraud_government_programs"": 4, ""shell_front_companies"": 3, ""trade_based_money_laundering"": 2, ""correspondent_banking"": 4, ""corruption_bribery"": 1, ""terrorist_financing"": 2}",[],"[""depository_institution"", ""real_estate""]",[],"[""eip""]",[],True,True,{},{},[],[],FIN-2011-A007,FinCEN Advisory – FIN-2011-A007,03/30/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A007.pdf,3,14,14,6
FIN-2011-A008.pdf,money_laundering,trade_based_money_laundering | bulk_cash_smuggling,"{""money_laundering"": 9, ""ransomware_cyber"": 1, ""bulk_cash_smuggling"": 7, ""sanctions_evasion"": 1, ""trade_based_money_laundering"": 7, ""correspondent_banking"": 4, ""virtual_assets_crypto"": 1, ""human_smuggling"": 1, ""human_trafficking"": 1}","[""Russia"", ""United States""]","[""depository_institution"", ""insurance""]","[""wire""]",[],[],True,True,{},{},[],[],FIN-2011-A008,FinCEN Advisory – FIN-2011-A008,04/15/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A008.pdf,2,15,15,0
FIN-2011-A009.pdf,money_laundering,bulk_cash_smuggling | trade_based_money_laundering,"{""money_laundering"": 11, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 10, ""sanctions_evasion"": 1, ""trade_based_money_laundering"": 10, ""virtual_assets_crypto"": 3, ""human_trafficking"": 4, ""human_smuggling"": 1, ""terrorist_financing"": 1, ""correspondent_banking"": 2, ""corruption_bribery"": 1, ""fraud_government_programs"": 1}","[""United States""]","[""depository_institution""]","[""wire""]",[],[],False,True,{},{},[],[],FIN-2011-A009,FinCEN Advisory – FIN-2011-A009,04/21/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A009.pdf,2,15,15,3
FIN-2011-A010.pdf,money_laundering,trade_based_money_laundering | terrorist_financing,"{""money_laundering"": 9, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 4, ""sanctions_evasion"": 3, ""proliferation_financing"": 3, ""terrorist_financing"": 6, ""trade_based_money_laundering"": 5, ""virtual_assets_crypto"": 1, ""correspondent_banking"": 2, ""shell_front_companies"": 1, ""corruption_bribery"": 2}","[""United States""]","[""depository_institution""]",[],[],[],True,True,{},{},[],[],FIN-2011-A010,FinCEN Advisory – FIN-2011-A010,07/08/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A010.pdf,3,19,19,4
FIN-2011-A011.pdf,money_laundering,sanctions_evasion | terrorist_financing | trade_based_money_laundering,"{""money_laundering"": 24, ""terrorist_financing"": 22, ""sanctions_evasion"": 25, ""trade_based_money_laundering"": 16, ""bulk_cash_smuggling"": 2, ""structuring_smurfing"": 6, ""corruption_bribery"": 3, ""proliferation_financing"": 10, ""virtual_assets_crypto"": 1, ""correspondent_banking"": 2, ""ransomware_cyber"": 1}","[""Ukraine"", ""United States"", ""Venezuela""]","[""depository_institution""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2011-A011,FinCEN Advisory – FIN-2011-A011,07/12/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A011.pdf,14,51,51,6
FIN-2011-A012.pdf,money_laundering,terrorist_financing | trade_based_money_laundering | sanctions_evasion | proliferation_financing,"{""money_laundering"": 18, ""terrorist_financing"": 16, ""ransomware_cyber"": 1, ""trade_based_money_laundering"": 11, ""virtual_assets_crypto"": 1, ""proliferation_financing"": 10, ""sanctions_evasion"": 10, ""human_trafficking"": 1, ""correspondent_banking"": 4, ""shell_front_companies"": 1}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2011-A012,FinCEN Advisory - FIN-2011-A012,07/13/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A012.pdf,7,28,28,3
FIN-2011-A013.pdf,money_laundering,correspondent_banking | trade_based_money_laundering,"{""money_laundering"": 9, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 3, ""sanctions_evasion"": 3, ""proliferation_financing"": 3, ""correspondent_banking"": 8, ""terrorist_financing"": 2, ""trade_based_money_laundering"": 5, ""virtual_assets_crypto"": 2}","[""United States""]","[""depository_institution""]",[],[],[],True,False,{},{},[],[],FIN-2011-A013,FinCEN Advisory – FIN-2011-A013,08/10/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A013.pdf,2,16,16,2
FIN-2011-A014.pdf,money_laundering,terrorist_financing | trade_based_money_laundering | sanctions_evasion,"{""money_laundering"": 29, ""trade_based_money_laundering"": 18, ""terrorist_financing"": 21, ""sanctions_evasion"": 17, ""proliferation_financing"": 9, ""correspondent_banking"": 3, ""structuring_smurfing"": 2, ""ransomware_cyber"": 1}","[""Ukraine"", ""United States"", ""Venezuela""]","[""depository_institution"", ""insurance"", ""securities""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2011-A014,FinCEN Advisory – FIN-2011-A014,11/15/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A014.pdf,14,46,46,6
FIN-2011-A015.pdf,money_laundering,terrorist_financing | trade_based_money_laundering | sanctions_evasion | proliferation_financing,"{""money_laundering"": 20, ""terrorist_financing"": 14, ""ransomware_cyber"": 1, ""trade_based_money_laundering"": 14, ""virtual_assets_crypto"": 2, ""proliferation_financing"": 11, ""sanctions_evasion"": 11, ""fraud_government_programs"": 1, ""correspondent_banking"": 4}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2011-A015,FinCEN Advisory – FIN-2011-A015,11/15/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A015.pdf,8,30,30,3
FIN-2011-A016.pdf,correspondent_banking,money_laundering | ransomware_cyber,"{""money_laundering"": 12, ""ransomware_cyber"": 10, ""bulk_cash_smuggling"": 1, ""sanctions_evasion"": 1, ""correspondent_banking"": 12, ""shell_front_companies"": 3, ""terrorist_financing"": 1, ""elder_romance_scam"": 3, ""structuring_smurfing"": 1}","[""United States""]","[""depository_institution""]","[""ach"", ""atm"", ""wire""]",[],[],True,True,{},{},[],[],FIN-2011-A016,FinCEN Advisory – FIN-2011-A016,12/19/2011,advisory,https://www.fincen.gov/system/files/advisory/FIN-2011-A016.pdf,2,16,16,4
FIN-2012-A001.pdf,money_laundering,correspondent_banking | trade_based_money_laundering,"{""money_laundering"": 8, ""ransomware_cyber"": 2, ""bulk_cash_smuggling"": 2, ""sanctions_evasion"": 1, ""trade_based_money_laundering"": 6, ""correspondent_banking"": 7}","[""United States""]","[""depository_institution"", ""msb""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2012-A001,FinCEN Advisory – FIN-2012-A001,02/15/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A001.pdf,2,9,9,2
FIN-2012-A002.pdf,money_laundering,sanctions_evasion | ransomware_cyber,"{""money_laundering"": 9, ""ransomware_cyber"": 6, ""bulk_cash_smuggling"": 1, ""sanctions_evasion"": 9, ""correspondent_banking"": 1, ""shell_front_companies"": 4, ""proliferation_financing"": 1, ""trade_based_money_laundering"": 1, ""structuring_smurfing"": 3, ""terrorist_financing"": 1}","[""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2012-A002,FinCEN Advisory – FIN-2012-A002,03/02/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A002.pdf,3,15,15,5
FIN-2012-A003.pdf,money_laundering,trade_based_money_laundering | terrorist_financing | sanctions_evasion,"{""money_laundering"": 29, ""trade_based_money_laundering"": 20, ""bulk_cash_smuggling"": 3, ""virtual_assets_crypto"": 2, ""sanctions_evasion"": 18, ""structuring_smurfing"": 3, ""terrorist_financing"": 19, ""proliferation_financing"": 6, ""human_trafficking"": 2, ""correspondent_banking"": 2, ""ransomware_cyber"": 1, ""shell_front_companies"": 1}","[""United States"", ""Venezuela""]","[""depository_institution"", ""insurance"", ""real_estate"", ""securities""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2012-A003,FinCEN Advisory – FIN-2012-A003,03/06/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A003.pdf,13,44,44,6
FIN-2012-A004.pdf,money_laundering,terrorist_financing | sanctions_evasion | trade_based_money_laundering,"{""money_laundering"": 24, ""terrorist_financing"": 17, ""trade_based_money_laundering"": 13, ""virtual_assets_crypto"": 1, ""proliferation_financing"": 10, ""sanctions_evasion"": 17, ""corruption_bribery"": 3, ""human_trafficking"": 1, ""correspondent_banking"": 4, ""bulk_cash_smuggling"": 1}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2012-A004,FinCEN Advisory – FIN-2012-A004,03/07/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A004.pdf,10,35,35,3
FIN-2012-A005.pdf,money_laundering,fraud_government_programs | correspondent_banking,"{""money_laundering"": 18, ""ransomware_cyber"": 3, ""bulk_cash_smuggling"": 5, ""sanctions_evasion"": 2, ""fraud_government_programs"": 11, ""correspondent_banking"": 10, ""elder_romance_scam"": 5, ""synthetic_identity"": 1, ""shell_front_companies"": 1, ""trade_based_money_laundering"": 3, ""virtual_assets_crypto"": 1, ""structuring_smurfing"": 1}","[""United States""]","[""depository_institution""]","[""ach"", ""atm"", ""prepaid""]",[],[],True,True,{},{},[],[],FIN-2012-A005,FinCEN Advisory – FIN-2012-A005,03/30/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A005.pdf,3,30,30,4
FIN-2012-A006.pdf,money_laundering,bulk_cash_smuggling | trade_based_money_laundering | correspondent_banking,"{""money_laundering"": 18, ""ransomware_cyber"": 1, ""bulk_cash_smuggling"": 14, ""sanctions_evasion"": 2, ""trade_based_money_laundering"": 15, ""virtual_assets_crypto"": 6, ""correspondent_banking"": 8, ""shell_front_companies"": 2, ""human_trafficking"": 1, ""terrorist_financing"": 1}","[""Mexico"", ""United States""]","[""acs"", ""depository_institution""]","[""ach"", ""cash"", ""wire""]",[],"[""courier""]",True,True,{},{},[],[],FIN-2012-A006,FinCEN Advisory – FIN-2012-A006,07/18/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A006.pdf,4,20,20,4
FIN-2012-A007.pdf,money_laundering,sanctions_evasion | terrorist_financing | trade_based_money_laundering,"{""money_laundering"": 27, ""trade_based_money_laundering"": 15, ""proliferation_financing"": 11, ""terrorist_financing"": 18, ""sanctions_evasion"": 22, ""ransomware_cyber"": 1, ""structuring_smurfing"": 6, ""correspondent_banking"": 2}","[""Afghanistan"", ""United States"", ""Venezuela""]","[""depository_institution""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2012-A007,FinCEN Advisory – FIN-2012-A007,07/19/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A007.pdf,11,79,79,7
FIN-2012-A008.pdf,money_laundering,terrorist_financing | sanctions_evasion | proliferation_financing,"{""money_laundering"": 31, ""terrorist_financing"": 29, ""trade_based_money_laundering"": 12, ""virtual_assets_crypto"": 2, ""proliferation_financing"": 22, ""sanctions_evasion"": 25, ""ransomware_cyber"": 1, ""structuring_smurfing"": 6, ""corruption_bribery"": 3, ""fraud_government_programs"": 1, ""correspondent_banking"": 5}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2012-A008,FinCEN Advisory – FIN-2012-A008,07/20/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A008.pdf,12,86,86,4
FIN-2012-A009.pdf,elder_romance_scam,ransomware_cyber | correspondent_banking | fraud_government_programs | money_laundering,"{""money_laundering"": 11, ""ransomware_cyber"": 19, ""bulk_cash_smuggling"": 1, ""sanctions_evasion"": 2, ""correspondent_banking"": 14, ""elder_romance_scam"": 20, ""fraud_government_programs"": 12, ""terrorist_financing"": 4, ""corruption_bribery"": 2, ""virtual_assets_crypto"": 2, ""shell_front_companies"": 2, ""synthetic_identity"": 2}","[""United States""]","[""depository_institution"", ""insurance"", ""real_estate""]","[""ach""]",[],[],True,False,{},{},[],[],FIN-2012-A009,FinCEN Advisory – FIN-2012-A009,08/16/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A009.pdf,5,43,43,14
FIN-2012-A010.pdf,money_laundering,correspondent_banking | trade_based_money_laundering,"{""sanctions_evasion"": 1, ""correspondent_banking"": 9, ""ransomware_cyber"": 6, ""fraud_government_programs"": 5, ""money_laundering"": 13, ""terrorist_financing"": 3, ""trade_based_money_laundering"": 6, ""bulk_cash_smuggling"": 3, ""virtual_assets_crypto"": 3, ""elder_romance_scam"": 4, ""shell_front_companies"": 1}","[""United States""]","[""depository_institution"", ""msb""]","[""ach"", ""card""]",[],[],True,True,{},{},[],[],FIN-2012-A010,FinCEN Advisory – FIN-2012-A010,10/22/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A010.pdf,4,19,19,5
FIN-2012-A011.pdf,money_laundering,sanctions_evasion | trade_based_money_laundering | terrorist_financing,"{""money_laundering"": 29, ""trade_based_money_laundering"": 16, ""bulk_cash_smuggling"": 2, ""sanctions_evasion"": 26, ""terrorist_financing"": 16, ""structuring_smurfing"": 6, ""proliferation_financing"": 10, ""corruption_bribery"": 1, ""fraud_government_programs"": 1, ""correspondent_banking"": 3, ""ransomware_cyber"": 1}","[""Afghanistan"", ""United States"", ""Venezuela""]","[""depository_institution""]","[""ach"", ""wire""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2012-A011,FinCEN Advisory – FIN-2012-A011,11/20/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A011.pdf,12,90,90,7
FIN-2012-A012.pdf,money_laundering,terrorist_financing | sanctions_evasion | proliferation_financing | trade_based_money_laundering,"{""sanctions_evasion"": 27, ""human_trafficking"": 1, ""money_laundering"": 30, ""terrorist_financing"": 30, ""trade_based_money_laundering"": 15, ""virtual_assets_crypto"": 2, ""proliferation_financing"": 23, ""ransomware_cyber"": 2, ""structuring_smurfing"": 4, ""corruption_bribery"": 1, ""correspondent_banking"": 4}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2012-A012,FinCEN Advisory – FIN-2012-A012,11/21/2012,advisory,https://www.fincen.gov/system/files/advisory/FIN-2012-A012.pdf,13,99,99,4
FIN-2013-A001.pdf,money_laundering,correspondent_banking | fraud_government_programs,"{""fraud_government_programs"": 10, ""correspondent_banking"": 13, ""money_laundering"": 20, ""ransomware_cyber"": 6, ""trade_based_money_laundering"": 5, ""synthetic_identity"": 3, ""elder_romance_scam"": 6, ""bulk_cash_smuggling"": 6, ""corruption_bribery"": 1, ""shell_front_companies"": 2, ""terrorist_financing"": 1, ""structuring_smurfing"": 1}","[""United States""]","[""depository_institution""]","[""ach"", ""atm"", ""prepaid""]",[],[],True,True,{},{},[],[],FIN-2013-A001,FinCEN Advisory – FIN-2013-A001,02/26/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A001.pdf,4,37,37,5
FIN-2013-A002.pdf,money_laundering,,"{""sanctions_evasion"": 3, ""proliferation_financing"": 2, ""terrorist_financing"": 4, ""money_laundering"": 8, ""ransomware_cyber"": 2, ""virtual_assets_crypto"": 1, ""correspondent_banking"": 2, ""trade_based_money_laundering"": 3, ""bulk_cash_smuggling"": 2, ""corruption_bribery"": 1}","[""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2013-A002,FinCEN Advisory – FIN-2013-A002,04/15/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A002.pdf,3,13,13,3
FIN-2013-A003.pdf,money_laundering,terrorist_financing | sanctions_evasion | trade_based_money_laundering | proliferation_financing,"{""money_laundering"": 20, ""trade_based_money_laundering"": 14, ""bulk_cash_smuggling"": 1, ""sanctions_evasion"": 16, ""proliferation_financing"": 11, ""terrorist_financing"": 17, ""structuring_smurfing"": 2, ""corruption_bribery"": 1, ""human_smuggling"": 1, ""fraud_government_programs"": 1, ""correspondent_banking"": 1, ""ransomware_cyber"": 1, ""shell_front_companies"": 1}","[""Afghanistan"", ""United States"", ""Venezuela""]","[""casino"", ""depository_institution"", ""insurance"", ""securities""]","[""ach"", ""wire""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2013-A003,FinCEN Advisory – FIN-2013-A003,04/24/2013,advisory,https://www.fincen.gov/system/files/advisory/2016-06-28/FIN-2013-A003.pdf,13,54,54,4
FIN-2013-A004.pdf,money_laundering,terrorist_financing | sanctions_evasion | proliferation_financing | trade_based_money_laundering,"{""sanctions_evasion"": 22, ""human_trafficking"": 1, ""money_laundering"": 28, ""terrorist_financing"": 24, ""trade_based_money_laundering"": 15, ""proliferation_financing"": 20, ""structuring_smurfing"": 3, ""correspondent_banking"": 8, ""bulk_cash_smuggling"": 1, ""corruption_bribery"": 2, ""ransomware_cyber"": 1}","[""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],"[""tco""]",True,True,{},{},[],[],FIN-2013-A004,FinCEN Advisory - FIN-2013-A004,04/23/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A004.pdf,11,83,83,4
FIN-2013-A005.pdf,money_laundering,sanctions_evasion | proliferation_financing | trade_based_money_laundering,"{""sanctions_evasion"": 21, ""proliferation_financing"": 18, ""money_laundering"": 25, ""ransomware_cyber"": 5, ""trade_based_money_laundering"": 16, ""bulk_cash_smuggling"": 10, ""virtual_assets_crypto"": 3, ""shell_front_companies"": 4, ""terrorist_financing"": 10, ""correspondent_banking"": 9, ""elder_romance_scam"": 3, ""fraud_government_programs"": 2, ""human_trafficking"": 2, ""human_smuggling"": 1, ""corruption_bribery"": 1}","[""North Korea"", ""United States""]","[""depository_institution""]","[""wire""]",[],"[""courier""]",True,True,{},{},[],[],FIN-2013-A005,FinCEN Advisory – FIN-2013-A005,07/01/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A005.pdf,8,57,57,5
FIN-2013-A006.pdf,sanctions_evasion,money_laundering | trade_based_money_laundering | correspondent_banking | proliferation_financing,"{""sanctions_evasion"": 26, ""structuring_smurfing"": 6, ""proliferation_financing"": 11, ""money_laundering"": 23, ""trade_based_money_laundering"": 16, ""terrorist_financing"": 7, ""human_trafficking"": 2, ""virtual_assets_crypto"": 1, ""bulk_cash_smuggling"": 4, ""corruption_bribery"": 2, ""correspondent_banking"": 11, ""shell_front_companies"": 1, ""ransomware_cyber"": 2}","[""Afghanistan"", ""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2013-A006,FinCEN Advisory – FIN-2013-A006,09/17/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A006.pdf,5,79,79,5
FIN-2013-A007.pdf,bulk_cash_smuggling,money_laundering | trade_based_money_laundering,"{""bulk_cash_smuggling"": 13, ""virtual_assets_crypto"": 5, ""correspondent_banking"": 5, ""trade_based_money_laundering"": 12, ""sanctions_evasion"": 4, ""money_laundering"": 12, ""ransomware_cyber"": 3, ""synthetic_identity"": 1, ""human_trafficking"": 1, ""human_smuggling"": 1, ""shell_front_companies"": 2, ""terrorist_financing"": 1}","[""Mexico"", ""United States""]","[""depository_institution"", ""securities""]",[],[],"[""tco""]",True,True,{},{},[],[],FIN-2013-A007,FinCEN Advisory - FIN-2013-A007,09/27/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A007.pdf,3,26,26,4
FIN-2013-A008.pdf,sanctions_evasion,money_laundering | trade_based_money_laundering | correspondent_banking | proliferation_financing,"{""sanctions_evasion"": 26, ""structuring_smurfing"": 5, ""proliferation_financing"": 13, ""money_laundering"": 24, ""trade_based_money_laundering"": 15, ""terrorist_financing"": 8, ""human_trafficking"": 2, ""virtual_assets_crypto"": 1, ""corruption_bribery"": 2, ""correspondent_banking"": 11, ""bulk_cash_smuggling"": 2, ""shell_front_companies"": 1, ""fraud_government_programs"": 1, ""ransomware_cyber"": 2}","[""Afghanistan"", ""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2013-A008,FinCEN Advisory - FIN-2013-A008,12/04/2013,advisory,https://www.fincen.gov/system/files/advisory/FIN-2013-A008.pdf,6,86,86,5
FIN-2014-A001.pdf,money_laundering,trade_based_money_laundering,"{""money_laundering"": 7, ""correspondent_banking"": 3, ""proliferation_financing"": 1, ""ransomware_cyber"": 3, ""trade_based_money_laundering"": 4, ""corruption_bribery"": 2, ""bulk_cash_smuggling"": 3, ""terrorist_financing"": 2, ""sanctions_evasion"": 1, ""shell_front_companies"": 1}","[""Ukraine"", ""United States""]","[""depository_institution""]",[],[],[],True,True,{},{},[],[],FIN-2014-A001,FinCEN Advisory - FIN-2014-A001,02/25/2014,advisory,https://www.fincen.gov/system/files/advisory/FIN-2014-A001.pdf,2,18,18,3
FIN-2014-A002.pdf,money_laundering,sanctions_evasion | trade_based_money_laundering,"{""money_laundering"": 12, ""sanctions_evasion"": 7, ""corruption_bribery"": 4, ""human_smuggling"": 1, ""ransomware_cyber"": 3, ""terrorist_financing"": 5, ""trade_based_money_laundering"": 6, ""correspondent_banking"": 4, ""proliferation_financing"": 1, ""bulk_cash_smuggling"": 3, ""shell_front_companies"": 2}","[""Canada"", ""Ukraine"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2014-A002,FinCEN Advisory – FIN-2014-A002,03/06/2014,advisory,https://www.fincen.gov/system/files/advisory/FIN-2014-A002.pdf,4,66,66,3
FIN-2014-A003.pdf,sanctions_evasion,money_laundering | trade_based_money_laundering | correspondent_banking | proliferation_financing,"{""sanctions_evasion"": 26, ""structuring_smurfing"": 6, ""proliferation_financing"": 11, ""money_laundering"": 24, ""trade_based_money_laundering"": 15, ""terrorist_financing"": 7, ""human_trafficking"": 2, ""virtual_assets_crypto"": 2, ""corruption_bribery"": 2, ""correspondent_banking"": 11, ""bulk_cash_smuggling"": 2, ""shell_front_companies"": 2, ""fraud_government_programs"": 1, ""ransomware_cyber"": 2}","[""Afghanistan"", ""Iran"", ""North Korea"", ""United States""]","[""depository_institution""]","[""ach""]",[],[],True,True,{},{},[],[],FIN-2014-A003,FinCEN Advisory – FIN-2014-A003,03/25/2014,advisory,https://www.fincen.gov/system/files/advisory/FIN-2014-A003.pdf,6,78,78,5
FIN-2014-A004.pdf,money_laundering,correspondent_banking | fraud_government_programs | human_smuggling | human_trafficking | ransomware_cyber,"{""fraud_government_programs"": 4, ""human_smuggling"": 4, ""human_trafficking"": 3, ""terrorist_financing"": 2, ""money_laundering"": 5, ""ransomware_cyber"": 2, ""trade_based_money_laundering"": 1, ""bulk_cash_smuggling"": 1, ""virtual_assets_crypto"": 2, ""shell_front_companies"": 2, ""correspondent_banking"": 4, ""sanctions_evasion"": 2, ""synthetic_identity"": 1, ""elder_romance_scam"": 1}","[""Iran"", ""United States""]","[""depository_institution"", ""real_estate""]",[],[],[],False,False,{},{},[],[],FIN-2014-A004,FinCEN Advisory – FIN-2014-A004,05/20/2014,advisory,https://www.fincen.gov/system/files/advisory/FIN-2014-A004.pdf,2,22,22,2
